,Mkt-RF,SMB,HML,RMW,CMA,RF,
1971-05-01,3.15,-0.38,0.71,-1.56,0.72,0.28,
1971-06-01,-3.98,-1.18,-1.48,1.46,0.3,0.29,
1971-07-01,-0.1,-1.45,-1.82,1.52,-1.74,0.37,
1971-08-01,-4.5,-1.4,0.17,0.48,1.62,0.4,
1971-09-01,3.79,-0.18,2.56,-0.34,2.6,0.47,
1971-10-01,-0.85,0.2,-2.89,2.59,-1.56,0.37,
1971-11-01,-4.42,-1.65,-0.37,1.48,-1.24,0.37,
1971-12-01,-0.46,-2.88,-1.73,2.45,-0.36,0.37,
1972-01-01,8.71,3.26,-0.41,-0.43,-1.83,0.37,
1972-02-01,2.49,6.31,1.93,-1.48,0.29,0.29,
1972-03-01,2.87,0.96,-2.8,1.65,-0.52,0.25,
1972-04-01,0.63,-0.5,-1.68,1.58,-0.19,0.27,
1972-05-01,0.29,0.15,0.24,-0.59,-0.89,0.29,
1972-06-01,1.25,-3.14,-2.73,2.33,-1.85,0.3,
1972-07-01,-2.43,-0.35,-2.6,1.75,-0.36,0.29,
1972-08-01,-0.8,-2.74,0.71,1.08,-0.59,0.31,
1972-09-01,3.26,-3.53,4.64,-2.02,2.95,0.29,
1972-10-01,-1.14,-2.25,0.51,1.67,-1.98,0.34,
1972-11-01,0.52,-2.52,1.3,-0.12,-0.05,0.4,
1972-12-01,4.6,-0.54,4.82,-1.98,3.35,0.37,
1973-01-01,0.62,-1.82,-2.24,2.6,-2.2,0.37,
1973-02-01,-3.29,-2.79,2.67,0.4,0.92,0.44,
1973-03-01,-4.85,-4.01,1.71,-0.34,-0.01,0.41,
1973-04-01,-1.3,-2.31,2.73,-1.07,0.73,0.46,
1973-05-01,-5.68,-2.99,5.62,-1.63,2.71,0.52,
1973-06-01,-2.94,-5.98,0.25,2.02,-1.79,0.51,
1973-07-01,-1.56,-2.53,1.37,-0.27,0.22,0.51,
1973-08-01,5.05,7.28,-5.32,-0.1,-3.46,0.64,
1973-09-01,-3.82,-1.79,1.32,-1.36,1.2,0.7,
1973-10-01,4.75,3.58,2.01,-2.3,1.82,0.68,
1973-11-01,-0.83,-0.32,2.03,-1.94,2.59,0.65,
1973-12-01,-12.75,-7.24,3.91,-2.71,1.5,0.56,
1974-01-01,0.61,-4.59,3.9,-2.8,2.3,0.64,
1974-02-01,-0.17,10.38,5.99,-3.01,4.46,0.63,
1974-03-01,-0.47,0.1,2.86,-1.93,2.67,0.58,
1974-04-01,-2.81,2.67,-0.28,2.82,0.36,0.56,
1974-05-01,-5.29,-0.63,0.95,2.86,1.84,0.75,
1974-06-01,-4.68,-3.17,-2.08,5.08,-0.01,0.75,
1974-07-01,-2.83,-0.01,0.78,0.62,3.05,0.6,
1974-08-01,-8.05,1.99,5.14,-3.26,4.58,0.7,
1974-09-01,-9.35,0.3,2.5,-0.26,2.55,0.6,
1974-10-01,-11.77,1.46,5.49,-4.28,5.91,0.81,
1974-11-01,16.1,-6.85,-9.99,-0.03,-2.94,0.51,
1974-12-01,-4.51,-1.44,-0.16,-3.39,2.95,0.54,
1975-01-01,-3.45,-4.36,0,-0.65,3.23,0.7,
1975-02-01,13.66,12.79,8.44,-0.89,-0.86,0.58,
1975-03-01,5.56,-0.65,-4.56,1.15,-2.14,0.43,
1975-04-01,2.66,3.98,2.49,1.23,-1.25,0.41,
1975-05-01,4.23,-0.59,-1.11,1.37,-1.35,0.44,
1975-06-01,5.19,2.89,-4.02,-1.05,-0.61,0.44,
1975-07-01,4.83,1.32,1.32,-2.62,1.07,0.41,
1975-08-01,-6.59,3.42,1.7,0.43,1.19,0.48,
1975-09-01,-2.85,-2.8,-0.95,1.03,-0.89,0.48,
1975-10-01,-4.26,0.02,0.34,0.53,0.5,0.53,
1975-11-01,5.31,-4.24,0.34,-0.46,2.27,0.56,
1975-12-01,2.64,-1.07,1.96,-0.62,1.71,0.41,
1976-01-01,-1.6,-0.03,1.74,-0.12,0.6,0.48,
1976-02-01,12.16,6.35,8.65,-1.9,2.36,0.47,
1976-03-01,0.32,7.97,5.85,-2.58,3.84,0.34,
1976-04-01,2.32,-1.33,-0.08,-0.38,1.09,0.4,
1976-05-01,-1.49,0.15,-0.14,0.39,-1.1,0.42,
1976-06-01,-1.34,-1.12,-1.3,2.47,-1.42,0.37,
1976-07-01,4.05,-1.13,0.65,-0.59,0.93,0.43,
1976-08-01,-1.07,0.62,1.69,-1.09,0.29,0.47,
1976-09-01,-0.56,-2.03,0.81,-0.46,-0.59,0.42,
1976-10-01,2.07,0.12,-0.24,0.99,-1.14,0.44,
1976-11-01,-2.42,0.16,-0.15,-0.22,-0.32,0.41,
1976-12-01,0.36,2.66,1.51,-1.39,0.07,0.4,
1977-01-01,5.65,3.6,2.2,-0.62,2.23,0.4,
1977-02-01,-4.05,5.89,4.25,-0.53,1.93,0.36,
