,Mkt-RF,SMB,HML,RMW,CMA,RF
201605,1.78,-0.72,-1.6,-1.19,-2.52,0.01
201606,-0.05,0.5,-1.4,1.41,1.98,0.02
201607,3.95,2.6,-1.23,1.14,-1.24,0.02
201608,0.5,1.66,3.31,-1.81,-0.35,0.02
201609,0.25,1.79,-1.21,-2.13,-0.06,0.02
201610,-2.02,-4.08,4.07,0.91,0.21,0.02
201611,4.86,6.8,8.22,-0.07,3.78,0.01
201612,1.82,0.41,3.51,1.14,-0.29,0.03
201701,1.94,-1.35,-2.81,-0.5,-0.94,0.04
201702,3.57,-2.18,-1.79,0.27,-1.74,0.04
201703,0.17,0.8,-3.33,0.8,-1.04,0.03
201704,1.09,0.48,-2.11,1.96,-1.58,0.05
201705,1.06,-3.11,-3.67,1.02,-1.93,0.06
201706,0.78,2.46,1.45,-2.23,-0.05,0.06
201707,1.87,-1.65,-0.36,-0.77,-0.21,0.07
201708,0.16,-1.81,-2.19,0.14,-2.42,0.09
201709,2.51,4.78,3.14,-1.38,1.64,0.09
201710,2.25,-1.96,0.12,0.93,-3.35,0.09
201711,3.12,-0.33,-0.09,3.3,0.05,0.08
201712,1.06,-1.02,0.17,0.72,1.67,0.09
201801,5.58,-3.19,-1.32,-0.82,-0.86,0.11
201802,-3.65,0.37,-1.01,0.58,-2.23,0.11
201803,-2.35,3.6,-0.12,-0.45,0,0.12
201804,0.29,0.96,0.5,-2.33,1.18,0.14
201805,2.65,4.74,-3.15,-2.01,-1.44,0.14
201806,0.48,0.89,-2.31,0.83,0.34,0.14
201807,3.19,-1.95,0.57,1.53,0.4,0.16
201808,3.44,0.64,-3.92,-0.15,-2.47,0.16
201809,0.06,-2.49,-1.63,0.59,1.26,0.15
201810,-7.68,-4.51,3.46,0.91,3.45,0.19
201811,1.69,-0.8,0.34,-0.63,0.33,0.18
201812,-9.55,-2.99,-1.89,-0.09,0.15,0.19
201901,8.41,3.05,-0.46,-0.65,-1.36,0.21
201902,3.4,1.79,-2.71,0.09,-1.47,0.18
201903,1.1,-3.56,-4.19,0.86,-1.03,0.19
201904,3.96,-1.16,2.02,1.64,-2.18,0.21
201905,-6.94,-1.5,-2.28,-0.54,1.78,0.21
201906,6.93,0.33,-0.79,0.99,-0.38,0.18
201907,1.19,-1.91,0.34,-0.16,0.34,0.19
201908,-2.58,-3.28,-4.85,0.42,-0.89,0.16
201909,1.43,0.24,6.77,1.99,3.5,0.18
201910,2.06,0.2,-1.88,0.25,-0.99,0.15
201911,3.87,0.52,-2.05,-1.58,-1.24,0.12
201912,2.77,0.94,1.91,0.09,1.29,0.14
202001,-0.11,-4.4,-6.27,-1.36,-2.34,0.13
202002,-8.13,-0.03,-3.92,-1.61,-2.49,0.12
202003,-13.38,-8.38,-13.96,-1.38,1.21,0.12
202004,13.65,2.79,-1.39,2.51,-1.03,0
202005,5.58,1.93,-5.05,0.71,-3.28,0.01
